"Timestamp","When was the last time you watched a movie?","How often do you watch movies (In a Month)?","Most of the movies you wanted to watch was because of...","How often do you go to the Cinema?","What is your favorite movie?","Why would someone want to watch this movie?","What do you like most about your favorite movie?","What's the genre of your favorite movie?","Are there any movie genres that you think are underrated or underappreciated?","1 = Least Favorite
5 = Most Favorite [Action]","1 = Least Favorite
5 = Most Favorite [Adventure]","1 = Least Favorite
5 = Most Favorite [Comedy]","1 = Least Favorite
5 = Most Favorite [Drama]","1 = Least Favorite
5 = Most Favorite [Romance]","1 = Least Favorite
5 = Most Favorite [Horror]","1 = Least Favorite
5 = Most Favorite [Sci-fi or Fantasy]","1 = Least Favorite
5 = Most Favorite [Musical]","1 = Least Favorite
5 = Most Favorite [Family]","Do you usually research a new movie before watching it?","If Yes, Which of the following sources do you use?","Which form of Movie Advertising do you find most effective?","How often does a movie disappoint your expectations?","1 = Least Important
5 = Most Important [Cast]","1 = Least Important
5 = Most Important [Genre]","1 = Least Important
5 = Most Important [Director]","1 = Least Important
5 = Most Important [Studio]","1 = Least Important
5 = Most Important [Reviews]","1 = Least Important
5 = Most Important [Quality of Story]","Where do you usually watch movies","When do you usually decide which movie you are going to see?","Most of the movies you wanted to watch was because of...","When going to the Cinema, you usually go..","Who do you usually go to the cinema with?","What do you usually do if you arrive to the Cinema and your movie has been sold out?","Do the Seats and Snacks of the Cinema usually have an effect on how much you enjoy a movie?","Why do you prefer watching movies at home instead of going to the cinema?","What's the genre you prefer watching home?","What kind of setup do you have for watching movies at home? Do you have a special room or equipment?","Where do you usually watch movies home?","What's your favorite Streaming Platform? (Where do you usually download movies)","What is your Student ID?","What is your Age?","Are you a Student in FCDS?","If Yes, What's your major (Department)?","If No, What's your college major?","Please select your Gender.","Please let us know if you have any comments or suggestions on how we can improve this survey.","","","","","","","","","","","","","","","",""
"2023/04/24 6:53:35 PM GMT+2","Less than a week","Once or twice","Social Media (Viral Videos)","Once or Twice a year","Shutter Island","mystery in the movie, idea of movie and the plot twist","Quality of Story","Action;Adventure;Comedy;Drama;Sci-fi or Fantasy;Sport","No","5","5","5","5","3","2","4","2","3","Sometimes","Internet Sites","Internet Sites (including Facebook 'fan' pages)","Sometimes","5","5","5","3","3","5","Home","","","","","","","More comfortable than going to cinema","Action;Adventure;Comedy;Drama;Sci-fi or Fantasy;Sport","In laptop with some snacks ","Downloaded from the Internet","","20201496620","21","Yes","Data Science (General)","","Male","The survey is very long can it be little shorter","","","","","","","","","","","","","","","",""
"2023/04/24 6:56:09 PM GMT+2","Less than a week","Three or four times","Social Media (Viral Videos)","Once or Twice a year","The Godfather ","1. It’s the Best Mafia Story Ever
2.The Godfather Shows the Complexity of Human Nature
3.The Godfather Offers Big and Small Life Lessons
","Quality of Story","Action;Comedy;Sci-fi or Fantasy","No","4","2","4","2","1","3","4","1","3","Sometimes","Critical Reviews;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","4","3","4","4","3","5","Home","","","","","","","Save time, money and effort
And if the movie is bad, then you won't miss anything","Action;Comedy;Sci-fi or Fantasy","Only On the bed with a cup of tea","Downloaded from the Internet","Egybest ربنا يخليهالنا ","2022139240","20","Yes","Data Science (General)","","Male","excellent work","","","","","","","","","","","","","","","",""
"2023/04/24 6:56:40 PM GMT+2","This month","More than four times","Social Media (Viral Videos)","Once or Twice a year","action ","to amuse the time ","Quality of Story","Action","History movies ","5","2","4","4","1","1","1","3","5","Yes","Internet Sites","Internet Sites (including Facebook 'fan' pages)","Usually","4","2","5","5","2","5","Home","","","","","","","I don't like gatherings ","Action;Comedy;Drama","I love having fun and the room is dark. I don't have a private room ","Downloaded from the Internet","google ","","20","No","","date ","Female","","","","","","","","","","","","","","","","",""
"2023/04/24 6:56:49 PM GMT+2","Less than a week","Three or four times","Social Media (Viral Videos)","Once or Twice a year","Divergent ","Because it's an adventure movie and amazing one","Acting","Action;Adventure;Comedy;Drama;Romance;Sci-fi or Fantasy","Adventure ","5","5","3","5","4","1","4","1","2","Yes","Internet Sites;Critical Reviews;Friends' Opinions (who already watched it)","Viral Videos","Sometimes","5","5","3","1","3","4","Home","","","","","","","Where i feel more relax and calm at home","Action;Adventure;Comedy;Drama;Romance;Sci-fi or Fantasy","ataania  I'm eating popcorn in front of my laptop under the blanket","Downloaded from the Internet","Telegram and Netflix ","20221380283","20","Yes","Data Science (General)","","Female","Great job guys ","","","","","","","","","","","","","","","",""
"2023/04/24 6:59:25 PM GMT+2","Less than a week","Three or four times","Social Media (Viral Videos)","I don't go to the Cinema","..","..","Quality of Story","Comedy;Romance;Family","No","1","2","5","2","5","1","1","2","4","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","3","1","2","2","4","5","Home","","","","","","","More exciting ","Comedy;Romance;Family","Room","Downloaded from the Internet","","22011461","19","Yes","Data Science (General)","","Female","","","","","","","","","","","","","","","","",""
"2023/04/24 7:00:13 PM GMT+2","Less than a week","Once or twice","Trailers","I don't go to the Cinema","The Meg","to Relaxing ","Quality of Story","Action;Comedy;Horror;Family","Yes","4","3","4","2","2","4","3","3","4","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Viral Videos","Sometimes","4","5","4","4","3","5","Home","","","","","","","there aren't specific reasons ","Action;Comedy;Horror;Family","choose a good time, buy snacks 😁","Downloaded from the Internet","Netflix","","20","No","","Faculty of arts ","Male","No it's a perfect survey 😇","","","","","","","","","","","","","","","",""
"2023/04/24 7:03:54 PM GMT+2","Less than a week","Three or four times","Social Media (Viral Videos)","Once or Twice a year","Inception",".","Quality of Story","Action;Adventure;Sci-fi or Fantasy",".","5","5","3","4","3","5","5","5","2","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","5","5","5","3","4","5","Home","","","","","","","More comfortable ","Action;Adventure;Horror","No i don’t","Downloaded from the Internet","Netflix ","22010415","20","Yes","Data Science (General)",".","Male","I don’t have any comments it’s a very good survey and i wish you a good luck ","","","","","","","","","","","","","","","",""
"2023/04/24 7:04:05 PM GMT+2","Less than a week","More than four times","Trailers","Once or Twice a year","10 things I hate about you ","It's a light romance comedy show and it's fun to watch besides it's a enemies to lovers trope and that's my favorite 🫶🏻","Quality of Story","Romance","Thriller there's not much thriller genres out there just a specific movies ","3","1","2","2","2","1","1","3","3","Yes","Critical Reviews","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","5","3","4","2","5","5","Home","","","","","","","I don't like interacting with people and it's more fun when you're alone ","Action;Comedy;Romance;Musical","On my bed with my laptop and my favorite snack ","Downloaded from the Internet","Netflix and Disney ","30311148800901","19","No","","Phonatics and linguistics ","Female","No you did great ","","","","","","","","","","","","","","","",""
"2023/04/24 7:04:08 PM GMT+2","Last Month","Once or twice","Friends Recommendations","I don't go to the Cinema","John wick ","The movie got high rating ","Acting","Action;Romance","No","5","2","3","4","4","5","2","1","1","Sometimes","Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","3","2","4","4","4","5","Home","","","","","","","I don’t like crowded places","Action;Comedy;Romance","I don’t have a specific setup","Downloaded from the Internet","Netflix ","","20","Yes","Data Science (General)","","Male","","","","","","","","","","","","","","","","",""
"2023/04/24 7:04:55 PM GMT+2","Less than a week","Once or twice","I was bored ","Once or Twice a year","Annabelle ","Because it is my favorite ","Acting","Horror;Thriller ","No","1","4","1","1","1","5","3","2","2","Yes","Internet Sites","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","5","5","5","5","5","5","Home","","","","","","","More convenience","Horror","My room ","On TV","Tv","","18 or younger","Yes","Data Science (General)","","Female","Nothing ","","","","","","","","","","","","","","","",""
"2023/04/24 7:05:21 PM GMT+2","Less than a week","Three or four times","Friends Recommendations","Once or Twice a year","Harry potter ","It is exciting and extremely entertaining ","Quality of Story","Adventure;Comedy;Romance;Horror;Sci-fi or Fantasy;Musical","Nope.","1","5","3","1","5","2","4","5","1","Sometimes","Internet Sites;TV Entertainment Programs;Friends' Opinions (who already watched it)","Viral Videos","Sometimes","3","1","1","2","4","5","Home","","","","","","","More comfortable ","Adventure;Comedy;Romance;Sci-fi or Fantasy;Musical","No just a laptop ","Downloaded from the Internet","Netflix ,cima4u","22011631","20","Yes","Data Science (General)","","Female",".","","","","","","","","","","","","","","","",""
"2023/04/24 7:05:29 PM GMT+2","Less than a week","More than four times","Friends Recommendations","Once a month","Pulp fiction","For entertainment","Quality of Story","Action;Horror;Sci-fi or Fantasy","Sci-fi","3","2","2","3","4","4","3","4","2","Sometimes","Critical Reviews","Merchandising (Games, Soundtrack, T-shirts, etc... related to the movie brand)","Sometimes","3","4","5","5","3","5","Home","","","","","","","Cause that's more comfortable","Drama;Musical","I've a special room for watching movies ","On TV","Netflex ","22010299","20","Yes","Data Science (General)","","Male","That's a perffect survay cause It cntained all the questions I would ask to someone if I wanna ask'em about movies  ","","","","","","","","","","","","","","","",""
"2023/04/24 7:07:03 PM GMT+2","This month","Once or twice","Social Media (Viral Videos)","I don't go to the Cinema","Mulan","Because it's exciting","Quality of Story","Action;Adventure;Comedy;Romance;Horror;Sci-fi or Fantasy;Family;Cartoon","May be no ","4","5","5","3","4","4","5","3","3","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","5","5","4","4","5","5","Home","","","","","","","More comfortable for me ","Action;Adventure;Comedy;Romance;Horror;Sci-fi or Fantasy;Family;Cartoon","Yes , my room ","Downloaded from the Internet","","","20","Yes","Data Science (General)","","Female","Good job and good luck ❤️","","","","","","","","","","","","","","","",""
"2023/04/24 7:12:52 PM GMT+2","Less than a week","Once or twice","Friends Recommendations","Once or Twice a year","Spiderman no way home","It has a childhood memories for everyone","Genre","Action;Adventure","Sci-fi","5","4","3","2","3","4","5","4","3","No","","Internet Sites (including Facebook 'fan' pages)","Sometimes","4","5","1","3","4","4","Home","","","","","","","I'm hyper active which makes me divide the film for small parts so I don't get bored ","Action;Adventure;Horror;Family","Just the tv ","On TV","","22011606","20","Yes","Data Science (General)","","Male","","","","","","","","","","","","","","","","",""
"2023/04/24 7:14:35 PM GMT+2","I don't watch movies often","Once or twice","Friends Recommendations","I don't go to the Cinema","Encanto","It highlights the meaning of the different powers and how much these all integrates to make everything easier","Quality of Story","Musical;Family","Family","1","3","2","1","1","1","1","5","5","Sometimes","","Viral Videos","Sometimes","3","5","1","4","2","5","Home","","","","","","","Feels free to pause whenever I want to ","Musical;Family","No special room or equipment ","Downloaded from the Internet","Google ","20221445255","19","Yes","Data Science (General)","","Female","No improvements it is good , good luck","","","","","","","","","","","","","","","",""
"2023/04/24 7:19:30 PM GMT+2","I don't watch movies often","Less than once","Friends Recommendations","I don't go to the Cinema","Ek villain","The story of the movie is good ","Genre","Action;Adventure;Comedy;Drama;Sci-fi or Fantasy;Family","Horror","4","4","5","4","3","1","5","1","4","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","4","5","3","3","4","5","Home","","","","","","","I don't like cinema, Watching movies at home is very amazing for me. ","Action;Adventure;Comedy;Drama;Sci-fi or Fantasy;Family","Living room ","Downloaded from the Internet","YouTube","20221378503 ","20","Yes","Data Science (General)","","Female","No comments, keep going ","","","","","","","","","","","","","","","",""
"2023/04/24 7:20:52 PM GMT+2","Less than a week","Once or twice","Social Media (Viral Videos)","I don't go to the Cinema","Horrors","To enjoy ","Acting","Horror","No","3","3","4","3","2","4","2","2","2","Yes","Internet Sites","Internet Sites (including Facebook 'fan' pages)","Sometimes","2","2","3","3","4","4","Home","","","","","","","Conform ","Action;Comedy;Romance;Horror","Yes","Downloaded from the Internet","","","19","No","","Molecular biology ","Female","No","","","","","","","","","","","","","","","",""
"2023/04/24 7:23:08 PM GMT+2","I don't watch movies often","Less than once","Social Media (Viral Videos)","Once or Twice a year","The Matrix","It is considered a classic and have social commentary on our present time as it discusses the feeling of not escaping the norm and feeling like you are another cog in the wheel.","Quality of Story","Sci-fi or Fantasy;Mystery thriller","No","2","3","2","2","1","2","4","1","3","Sometimes","Internet Sites;Critical Reviews;Youtube","Word of mouth","Usually","1","3","1","1","2","4","Home","","","","","","","A massive increase in ticket pricing along with the fact that it is more convenient","Adventure;Sci-fi or Fantasy;Mystery thriller","Just my phone or tablet","Downloaded from the Internet","","","19","Yes","Data Science (General)","","Male","","","","","","","","","","","","","","","","",""
"2023/04/24 7:23:43 PM GMT+2","Less than a week","Three or four times","Social Media (Viral Videos)","Once or Twice a year","the shawshank redemption","Amazing story with great acting that  help me get out of depression ","Quality of Story","Action;Comedy;Horror;Musical","Festival Short films ","3","2","5","2","2","3","2","4","3","Sometimes","Internet Sites;TV Entertainment Programs;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","4","3","4","2","3","5","Home","","","","","","","I hate nosie","Comedy;Musical","Y","Downloaded from the Internet","","20221461924","19","Yes","Data Science (General)","","Male","","","","","","","","","","","","","","","","",""
"2023/04/24 7:24:30 PM GMT+2","Less than a week","Three or four times","Social Media (Viral Videos)","Once or Twice a year","Violet Evergarden: Eternity and the auto memory doll","If you love good stories and an anime fan, this is one of the movies you'd like","Quality of Story","Drama","Super hero movies","5","5","4","4","5","1","5","4","3","Yes","Internet Sites;Critical Reviews","Internet Sites (including Facebook 'fan' pages)","Sometimes","4","5","1","1","3","5","Home","","","","","","","It's hard to focus on the movie in the cinema with the noise","Action;Adventure;Comedy;Drama;Romance;Sci-fi or Fantasy;Musical","Tablet","Downloaded from the Internet","Netflix","","20","Yes","Data Science (General)","","Male","It's perfect, good luck","","","","","","","","","","","","","","","",""
"2023/04/24 7:35:06 PM GMT+2","Less than a week","Less than once","Friends Recommendations","I don't go to the Cinema","Fight club ","Great Motivational movie, and well produced ","Directing","I don't know which category it can be put in ","Dramatic movies should be watched on a larger scale","2","2","2","3","3","1","2","2","3","Sometimes","Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","5","4","4","1","4","4","Home","","","","","","","Watching movies alone without disturbing is the only proper way to watch movies ","Drama;Romance;Musical","No, doesn't really matter ","Downloaded from the Internet","Egybest (R.I.P😩)","","18 or younger","Yes","Data Science (General)","","Male","","","","","","","","","","","","","","","","",""
"2023/04/24 7:36:31 PM GMT+2","I don't watch movies often","Less than once","I don't know 😕 ","I don't go to the Cinema","Twilight saga ","Adventure, action, and romantic combined together so I love it","Acting","Romance","No","4","4","1","1","5","5","4","2","3","Sometimes","Internet Sites","Viral Videos","Sometimes","5","5","4","4","1","5","Home","","","","","","","I don't have much time to waste on going to the cinema. ","Action;Adventure;Romance;Horror","Yes","Downloaded from the Internet","Netflix ","22011560","19","Yes","Data Science (General)","","Male","I hope you achieve your dreams and goals. ","","","","","","","","","","","","","","","",""
"2023/04/24 7:38:25 PM GMT+2","Less than a week","Less than once","Internet Sites","Once or Twice a year","Friday the 13th","For Thriller","Genre","Comedy;Drama;Horror","I don't think so ","1","1","3","3","1","3","1","1","1","Yes","Internet Sites","Trailers (Screened at Cinemas + on TV/Radio)","Usually","3","5","2","2","2","5","Home","","","","","","","1) Low cost 
2) Iam so lazy to go out 
3) Love to go with group of friends not alone which is not often available","Comedy;Drama;Horror","No just TV screen or my laptop ","Downloaded from the Internet","Netflix","22010351","20","Yes","Data Science (General)","","Female","No I think your survey was good ","","","","","","","","","","","","","","","",""
"2023/04/24 7:42:26 PM GMT+2","Less than a week","More than four times","Friends Recommendations","Once or Twice a year","Five feet a part ","The story of the movie does not make him bored","Quality of Story","Romance","Musical","5","4","4","5","3","5","5","2","2","Yes","Internet Sites;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","5","5","4","4","4","5","Home","","","","","","","More comfortable ","Action;Adventure;Comedy;Drama;Romance;Horror;Sci-fi or Fantasy","No , in my room ","Downloaded from the Internet","Netflix ","20221462492","20","Yes","Data Science (General)","","Female","","","","","","","","","","","","","","","","",""
"2023/04/24 7:43:01 PM GMT+2","This month","Three or four times","Friends Recommendations","I don't go to the Cinema","The fault in our stars ","It’s a dramatic romance movie with a sad end , this is my favorite type you should see it if you like this type as me ","Quality of Story","Drama;Romance;Sci-fi or Fantasy","No","3","3","3","5","5","1","4","1","1","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Merchandising (Games, Soundtrack, T-shirts, etc... related to the movie brand)","Sometimes","5","5","2","3","4","5","Home","","","","","","","Feeling more comfortable ","Adventure;Drama;Romance;Sci-fi or Fantasy","My PC","Downloaded from the Internet","EgyBest","20221469440","20","Yes","Data Science (General)","","Male","التيم بتاعنا برفكتو مفيش غلطات ","","","","","","","","","","","","","","","",""
"2023/04/24 7:45:18 PM GMT+2","Last Month","Once or twice","Social media or a random movie was on TV ","I don't go to the Cinema","Harry Potter movies.","Because of its good story.","Quality of Story","Action;Adventure;Comedy;Sci-fi or Fantasy;Family","I don't know as I don't follow people's opinions about movies.","5","5","4","3","2","3","5","2","4","No","","Internet Sites (including Facebook 'fan' pages)","Sometimes","3","4","2","2","3","5","Home","","","","","","","Home is more comfortable ","Action;Adventure;Comedy;Sci-fi or Fantasy;Family","Just a regular tv room, computer, or a tablet","On TV","","","19","Yes","Data Science (General)","","Male","","","","","","","","","","","","","","","","",""
"2023/04/24 7:46:05 PM GMT+2","Less than a week","Three or four times","Friends Recommendations","I don't go to the Cinema","Five feet apart ","It's very interesting and sensitive ","Acting","Drama;Romance","No","4","5","4","5","5","1","4","3","5","Sometimes","Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","3","5","5","3","4","5","Home","","","","","","","Because I am not allowed to go to the cinema","Drama;Romance;Family","On my bed in my room","Downloaded from the Internet","Watch it","20221453042","19","Yes","Data Science (General)","","Female","No, it's good","","","","","","","","","","","","","","","",""
"2023/04/24 7:50:55 PM GMT+2","This month","More than four times","Friends Recommendations","Once or Twice a year","Attach on titan (series)","Because this movie has a lot of excitement, suspense and fun ","Quality of Story","Action;Adventure;Comedy;Romance;Sci-fi or Fantasy;Family","no ","4","5","5","4","3","2","5","2","3","Sometimes","Critical Reviews;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","4","3","3","3","4","5","Home","","","","","","","more comfortable","Action;Adventure;Comedy;Romance;Sci-fi or Fantasy;Family","no i don't ","Downloaded from the Internet","Egybest or Netflix or maybe random sites","","18 or younger","No","","I am a high school student","Female","It is very wonderful and smooth in dealing, it was made professionally, and the questions are specified in an excellent way. In general, it is wonderful, and the experience and service are more than amazing.","","","","","","","","","","","","","","","",""
"2023/04/24 7:51:32 PM GMT+2","Less than a week","More than four times","Trailers","Once or Twice a year","intersteller","Story, graphics, excitement ","Quality of Story","Adventure;Comedy;Drama;Romance;Sci-fi or Fantasy","horror","5","5","5","3","3","1","5","2","2","Yes","Internet Sites;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","5","5","3","5","4","4","Home","","","","","","","more comfort and to be in the mood of the movie","Adventure;Comedy;Drama;Romance;Sci-fi or Fantasy","my room on the laptop","Downloaded from the Internet","egybest","2022446471","20","Yes","Data Science (General)","","Male","","","","","","","","","","","","","","","","",""
"2023/04/24 7:55:56 PM GMT+2","Less than a week","Three or four times","Social Media (Viral Videos)","I don't go to the Cinema","zaki shan","for entertainment ","Acting","Comedy","no","3","3","3","3","3","3","3","3","3","Yes","Internet Sites","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","3","3","3","3","3","3","Home","","","","","","","more comfortable ","Comedy","no ","Downloaded from the Internet","","20201503334","21","Yes","Data Science (General)","","Female","","","","","","","","","","","","","","","","",""
"2023/04/24 7:56:38 PM GMT+2","Less than a week","Once or twice","Internet Sites","Once or Twice a year","Little women","Little women is a great movie and has a great plot and well-written characters who have ambitions and motives and many complex personality traits. ","Quality of Story","Drama","Mystery ","2","4","3","5","4","1","2","1","3","Yes","Internet Sites;Friends' Opinions (who already watched it)","Viral Videos","Usually","4","5","2","1","3","5","Home","","","","","","","","","","","","22010323","19","Yes","Data Science (General)","","Female","Good luck","","","","","","","","","","","","","","","",""
"2023/04/24 7:56:58 PM GMT+2","Less than a week","Three or four times","Friends Recommendations","Once or Twice a year","La casa de papel ","It's interesting ","Acting","Action;Adventure","No","3","3","2","1","2","2","3","2","2","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","3","5","1","3","5","5","Home","","","","","","","","","","","","30302060200042","20","No","","Faculty of education (chemistry)","Female","","","","","","","","","","","","","","","","",""
"2023/04/24 7:59:51 PM GMT+2","Less than a week","Three or four times","Friends Recommendations","I don't go to the Cinema","Train to busan","It makes you feel many emotions ","Quality of Story","Action;Comedy;Drama;Horror;Sci-fi or Fantasy","No ","5","1","5","4","2","4","4","1","2","Yes","Internet Sites;Critical Reviews;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","4","5","3","3","5","5","Home","","","","","","","","","","","","","20","No","","Environmental sciences and Chemistry ","Female","Some questions require the ability to choose more than one answer","","","","","","","","","","","","","","","",""
"2023/04/24 8:00:54 PM GMT+2","I don't watch movies often","Less than once","non","I don't go to the Cinema","عسل اسود","بيضحك","Acting","Comedy;Family","...............","5","5","5","1","1","1","1","1","2","Sometimes","Internet Sites","Viral Videos","Usually","1","4","1","1","1","1","Home","","","","","","","I can watch it any time","Action;Comedy;Family","my phone or laptop often TV","Downloaded from the Internet","................","","","","","","","","","","","","","","","","","","","","","","",""
"2023/04/24 8:01:41 PM GMT+2","Less than a week","More than four times","Social Media (Viral Videos)","Once or Twice a year","Ride along","Hilarious and funny as hell","Genre","Comedy","Documentary ","4","4","5","2","2","1","4","3","4","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Viral Videos","Usually","5","5","3","4","4","4","Home","","","","","","","","","","","","","21","No","","Psychology ","Male","السيرڤي عشرة على عشرة و انتو ناس عشرة على عشرة","","","","","","","","","","","","","","","",""
"2023/04/24 8:02:57 PM GMT+2","Less than a week","Once or twice","Friends Recommendations","I don't go to the Cinema","Hawaa on the road ","So exciting ","Quality of Story","Comedy;Drama;Romance;Sci-fi or Fantasy","No","1","1","5","3","5","2","3","2","3","No","","Internet Sites (including Facebook 'fan' pages)","Sometimes","3","3","5","4","3","5","Home","","","","","","","More comfortable ","Comedy;Drama;Romance","No , I don't have ","Downloaded from the Internet","Egy best","","","","","","","","","","","","","","","","","","","","","","",""
"2023/04/24 8:04:06 PM GMT+2","This month","Once or twice","Social Media (Viral Videos)","Once or Twice a year","Pulp Fiction ","Great dialogue, iconic scenes, and Uma Thurman. ","Quality of Story","Action;Comedy;Drama","I don't watch that many movies to be able to form an opinion on this matter ","5","3","4","5","1","1","3","1","2","Yes","Internet Sites;Critical Reviews;Friends' Opinions (who already watched it)","Viral Videos","Sometimes","2","4","3","1","5","5","Home","","","","","","","1- I usually prefer to watch older movies which are not available in cinemas

2- No people talking and ruining the immersion

3- The cost and the time consumption (of going to and coming back from the cinema)

*Note: I believe some movies are better in the cinema (like Top gun: Maverick) but usually the experience of watching at home has been better for me. ","Comedy;Drama","No special setup. ","Downloaded from the Internet","I usually pirate them unfortunately","","","","","","","It was a fun survey and I wish you all the best with your project ","","","","","","","","","","","","","","","",""
"2023/04/24 8:05:34 PM GMT+2","Less than a week","Three or four times","Social Media (Viral Videos)","More than once a month","The hunger games","The story is good","Quality of Story","Action;Adventure;Comedy;Romance;Sci-fi or Fantasy","Family","3","4","5","4","2","1","5","3","5","Yes","Internet Sites","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","5","5","1","1","3","5","Home","","","","","","","It is more comfortable 
I can do whatever i want while watching it ","Comedy;Drama;Sci-fi or Fantasy","I just set in my room","Downloaded from the Internet","Telegram ","","","","","","","","","","","","","","","","","","","","","","",""
"2023/04/24 8:06:50 PM GMT+2","Less than a week","More than four times","Social Media (Viral Videos)","I don't go to the Cinema","Harry potter ","Great story and can be watched be all ages ","Quality of Story","Action;Romance;Horror;Sci-fi or Fantasy;Musical;Family","Musical movies are underrated ","2","2","1","1","4","4","4","3","3","Yes","Internet Sites;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","5","5","5","5","3","5","Home","","","","","","","Because you can control when to stop it and play it back if you missed something in movie and make your own snacks and watch the movie in comfort ","Romance;Horror;Sci-fi or Fantasy","I don't have a specific setup","On TV","Egybest","","","","","","","There is nothing that could be improved
","","","","","","","","","","","","","","","",""
"2023/04/24 8:07:37 PM GMT+2","Less than a week","Once or twice","Internet Sites","Once or Twice a year","  Spider man ","As it is very interesting","Quality of Story","Adventure;Comedy;Romance","No","1","5","5","3","5","1","5","1","5","Yes","Internet Sites","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","5","5","5","1","5","5","Home","","","","","","","Because watching films in home is more interesting and i usually don't like to go to cinema ","Adventure;Comedy;Romance;Sci-fi or Fantasy;Family","yes i have a special room","Downloaded from the Internet","from google","","","","","","","it is very good but it need to have more interesting questions","","","","","","","","","","","","","","","",""
"2023/04/24 8:07:44 PM GMT+2","Less than a week","Once or twice","Friends Recommendations","Once a month","500 days of summt - interstellar - inception ","Enjoying & Having fun","Quality of Story","Action;Adventure;Comedy;Sci-fi or Fantasy",".","3","3","3","3","3","1","2","1","3","Sometimes","Critical Reviews","Internet Sites (including Facebook 'fan' pages)","Sometimes","3","2","3","2","3","4","Home","","","","","","","More comfortable and quiet","Action;Adventure;Comedy;Drama;Romance;Sci-fi or Fantasy",".","Downloaded from the Internet",".","","","","","","",".","","","","","","","","","","","","","","","",""
"2023/04/24 8:08:10 PM GMT+2","Less than a week","Once or twice","Internet Sites","I don't go to the Cinema","Kung Fu Panda","It's a great compilation between fun jokes and a lot of action ","Quality of Story","Action;Adventure;Comedy;Romance;Horror","I would say that it's the Comedy genre","5","4","4","2","3","5","3","1","1","No","","Internet Sites (including Facebook 'fan' pages)","Sometimes","1","3","1","3","2","5","Home","","","","","","","I feel more comfortable in my home but that doesn't necessarily mean i don't enjoy a good night to the cinema ","Action;Adventure;Comedy;Romance;Horror","No, i don't have a setup currently ","Downloaded from the Internet","None specific ","","","","","","","","","","","","","","","","","","","","","","",""
"2023/04/24 8:13:21 PM GMT+2","Less than a week","Less than once","Social Media (Viral Videos)","Once or Twice a year","All movie from marvel","To be happy","Quality of Story","Adventure;Comedy;Drama;Romance;Family","Underrated","2","3","4","4","4","2","4","3","4","Yes","Internet Sites;Critical Reviews;TV Entertainment Programs;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","4","2","2","4","4","4","Home","","","","","","","To be more rest and comfortable","Action;Adventure;Comedy;Drama;Romance;Horror;Sci-fi or Fantasy;Musical;Family","In living room. ","On TV","In mobile","","","","","","","... ","","","","","","","","","","","","","","","",""
"2023/04/24 8:19:09 PM GMT+2","Last Month","Less than once","Friends Recommendations","I don't go to the Cinema","Me before you ","Because the story about hope, challenges, love and new beginnings","Quality of Story","Action;Adventure;Drama;Romance","No","4","3","2","3","4","3","3","1","2","Sometimes","Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","4","3","2","3","4","4","Home","","","","","","","I don't like cinema","Action;Adventure;Romance;Horror","I prefer the room to be dark ","Downloaded from the Internet","Egybest","","","","","","","","","","","","","","","","","","","","","","",""
